year,teamID,playerID,role,days_IL,WARx,delta_WAR,delta_wins,note
1891,CL4,youngcy01,pit,30,158.38907633719546,-25.546625215676688,-25.546625215676688,
1894,CIN,parroto01,pit,30,157.43788190401145,-25.393206758711525,-25.393206758711525,
1890,PHI,gleaski01,pit,30,156.98123013969607,-25.319553248338075,-25.319553248338075,
1895,PIT,hawlepi01,pit,30,156.57453374780818,-25.25395705609809,-25.25395705609809,
1890,CIN,rhinebi01,pit,30,154.89552113846776,-24.983148570720605,-24.983148570720605,
1894,CHN,griffcl01,pit,30,152.85237517575047,-24.65360889931459,-24.65360889931459,
1890,BSN,nichoki01,pit,30,150.55739442535798,-24.283450713767415,-24.283450713767415,
1894,PHI,carseki01,pit,30,149.41875577426552,-24.099799318429923,-24.099799318429923,
1876,SL3,bradlge01,pit,30,144.11127978760226,-23.243754804451978,-23.243754804451978,
1893,PIT,ehretre01,pit,30,143.69220042690029,-23.176161359177463,-23.176161359177463,
1887,CHN,clarkjo01,pit,30,143.54078232716802,-23.1517390850271,-23.1517390850271,
1908,CHA,walshed01,pit,30,143.17825495238688,-23.093266927804336,-23.093266927804336,
1883,CHN,corcola01,pit,30,141.58554716732797,-22.83637857537548,-22.83637857537548,
1885,CHN,clarkjo01,pit,30,141.33154457247636,-22.79541041491554,-22.79541041491554,
1891,CIN,mullato01,pit,30,141.2294481788143,-22.778943254647466,-22.778943254647466,
1892,CL4,youngcy01,pit,30,139.7638939699115,-22.54256354353411,-22.54256354353411,
1894,PHI,weyhigu01,pit,30,138.85259951798872,-22.395580567417536,-22.395580567417536,
1894,LS3,menefjo01,pit,30,138.62532938342036,-22.358924094100058,-22.358924094100058,
1882,CL2,mccorji01,pit,30,138.3838991760437,-22.319983738071567,-22.319983738071567,
1912,CHA,walshed01,pit,30,138.21801815797778,-22.293228735157705,-22.293228735157705,
1891,CIN,rhinebi01,pit,30,138.19196486623488,-22.289026591328206,-22.289026591328206,
1884,NY1,welchmi01,pit,30,136.233432101722,-21.973134209955163,-21.973134209955163,
1930,PHA,grovele01,pit,30,135.89594748485442,-21.918701207234584,-21.918701207234584,
1886,DTN,baldwla01,pit,30,135.1228823037475,-21.794013274797983,-21.794013274797983,
1892,CHN,hutchbi01,pit,30,134.09302880636858,-21.627907871994932,-21.627907871994932,
1894,LS3,knellph01,pit,30,133.62577806789685,-21.55254484966078,-21.55254484966078,
1876,LS1,devliji01,pit,30,133.10508905390682,-21.46856275063013,-21.46856275063013,
1933,NY1,hubbeca01,pit,30,132.8890098638947,-21.43371126837011,-21.43371126837011,
1944,DET,troutdi01,pit,30,132.4180631686867,-21.357752123981726,-21.357752123981726,
1891,PIT,kingsi01,pit,30,132.24359167331733,-21.32961156021247,-21.32961156021247,
1884,CHN,corcola01,pit,30,131.98314578807953,-21.287604159367664,-21.287604159367664,
1901,BOS,youngcy01,pit,30,130.29052841180263,-21.014601356742357,-21.014601356742357,
1912,BOS,woodjo02,pit,30,130.26462658102886,-21.01042364210143,-21.01042364210143,
1923,CIN,luquedo01,pit,30,129.41057824617832,-20.87267391067392,-20.87267391067392,
1886,NY1,keefeti01,pit,30,129.36702676079042,-20.865649477546842,-20.865649477546842,
1887,NY1,keefeti01,pit,30,128.9664236633845,-20.801036074739432,-20.801036074739432,
1894,PIT,killefr01,pit,30,128.94598674433584,-20.797739797473522,-20.797739797473522,
1894,CHN,hutchbi01,pit,30,128.85259951798872,-20.782677341611084,-20.782677341611084,
1888,NY1,keefeti01,pit,30,128.67685842333773,-20.75433200376415,-20.75433200376415,
1945,DET,newhoha01,pit,30,127.7503884349764,-20.604901360480063,-20.604901360480063,
1895,BSN,nichoki01,pit,30,127.70094039942326,-20.59692587087472,-20.59692587087472,
1893,NY1,baldwma01,pit,30,126.95339048180156,-20.47635330351638,-20.47635330351638,
1895,CL4,youngcy01,pit,30,126.88083865440304,-20.464651395871456,-20.464651395871456,
1883,CL2,mccorji01,pit,30,126.8140544642354,-20.453879752296032,-20.453879752296032,
1891,PHI,gleaski01,pit,30,125.47828617375541,-20.238433253831516,-20.238433253831516,
1893,BRO,steined01,pit,30,125.26990390464023,-20.204823210425843,-20.204823210425843,
1894,PIT,gumbead01,pit,30,124.79589415546576,-20.12837002507512,-20.12837002507512,
1877,BSN,bondto01,pit,30,124.58768229345566,-20.094787466686395,-20.094787466686395,
1877,LS1,devliji01,pit,30,124.57296430334297,-20.09241359731338,-20.09241359731338,
1893,SLN,gleaski01,pit,30,124.05917358122294,-20.0095441260037,-20.0095441260037,
1896,BSN,nichoki01,pit,30,123.7500061002889,-19.959678403272402,-19.959678403272402,
1893,BLN,mcmahsa01,pit,30,122.53679347142037,-19.763998947003284,-19.763998947003284,
1880,CL2,mccorji01,pit,30,122.3993434473044,-19.741829588274904,-19.741829588274904,
1891,CL4,viaule01,pit,30,122.17792108862984,-19.706116304617716,-19.706116304617716,
1882,PRO,radboch01,pit,30,122.08376667493516,-19.69093010886051,-19.69093010886051,
1885,NY1,welchmi01,pit,30,121.69842685338423,-19.628778524739392,-19.628778524739392,
1913,CHA,russere01,pit,30,121.6488436541104,-19.620781234533933,-19.620781234533933,
1886,PHI,ferguch01,pit,30,121.0888852118743,-19.53046535675392,-19.53046535675392,
1920,CHN,alexape01,pit,30,120.91096401260246,-19.501768389129428,-19.501768389129428,
1946,CLE,fellebo01,pit,30,120.75190066077296,-19.47611300980209,-19.47611300980209,
1886,CHN,clarkjo01,pit,30,120.42918222125022,-19.424061648588744,-19.424061648588744,
1913,CHA,scottji01,pit,30,120.06733316200149,-19.365698897097015,-19.365698897097015,
1908,NY1,mathech01,pit,30,120.01215143979702,-19.3567986193221,-19.3567986193221,
1897,BSN,nichoki01,pit,30,119.80718465786748,-19.323739460946367,-19.323739460946367,
1918,WS1,johnswa01,pit,30,119.2414967985072,-19.232499483630193,-19.232499483630193,
1896,CL4,youngcy01,pit,30,118.90712406683895,-19.17856839787725,-19.17856839787725,
1930,BRO,vanceda01,pit,30,118.68528665320397,-19.142788169871608,-19.142788169871608,
1877,HAR,larkite01,pit,30,118.12174439351494,-19.05189425701854,-19.05189425701854,
1891,NY1,ewingjo01,pit,30,117.87755600350425,-19.012509032823267,-19.012509032823267,
1880,PRO,wardjo01,pit,30,117.87269541481926,-19.011725066906333,-19.011725066906333,
1936,NY1,hubbeca01,pit,30,117.766726813264,-18.994633356978063,-18.994633356978063,
1888,NY1,welchmi01,pit,30,117.26989359031384,-18.91449896617965,-18.91449896617965,
1953,PHI,roberro01,pit,30,116.84467489092182,-18.84591530498739,-18.84591530498739,
1887,PHI,caseyda01,pit,30,116.7235539229533,-18.826379664992466,-18.826379664992466,
1883,NY1,welchmi01,pit,30,116.1543485431704,-18.734572345672646,-18.734572345672646,
1883,CL2,dailyhu01,pit,30,115.91497648281815,-18.695963948841637,-18.695963948841637,
1896,PIT,killefr01,pit,30,115.5458889096461,-18.63643369510421,-18.63643369510421,
1878,CN1,whitewi01,pit,30,114.69147263981557,-18.498624619325092,-18.498624619325092,
1895,NY1,rusieam01,pit,30,114.58285808133056,-18.48110614215009,-18.48110614215009,
1878,BSN,bondto01,pit,30,114.38958210714048,-18.449932597925883,-18.449932597925883,
1944,DET,newhoha01,pit,30,113.96189705682069,-18.380951138196885,-18.380951138196885,
1930,CLE,ferrewe01,pit,30,113.13905299143235,-18.24823435345683,-18.24823435345683,
2000,BOS,martipe02,pit,30,112.87141520080972,-18.205066967872536,-18.205066967872536,
1933,CHN,warnelo01,pit,30,112.76493142837711,-18.187892165867275,-18.187892165867275,
1913,CHA,cicoted01,pit,30,112.65649505042605,-18.17040242748807,-18.17040242748807,
1947,BSN,spahnwa01,pit,30,112.36763837797788,-18.123812641609337,-18.123812641609337,
1913,NY1,mathech01,pit,30,112.2943562889193,-18.111992949825694,-18.111992949825694,
1888,PIT,morried01,pit,30,112.03812442794039,-18.070665230312965,-18.070665230312965,
1913,PIT,adamsba01,pit,30,111.86164408265039,-18.042200658491996,-18.042200658491996,
1892,NY1,rusieam01,pit,30,111.75776299717909,-18.025445644706302,-18.025445644706302,
1999,ARI,johnsra05,pit,30,111.0549022334892,-17.912081005401483,-17.912081005401483,
1888,PHI,buffich01,pit,30,111.02832460969195,-17.907794291885796,-17.907794291885796,
1887,PIT,galvipu01,pit,30,110.76476369440164,-17.865284466838972,-17.865284466838972,
1912,NY1,mathech01,pit,30,110.1745181398807,-17.7700835709485,-17.7700835709485,
1898,BSN,nichoki01,pit,30,110.16826520026623,-17.769075032301004,-17.769075032301004,
1895,CL4,cuppyni01,pit,30,110.11885314248228,-17.761105345561656,-17.761105345561656,
1894,BLN,gleaski01,pit,30,109.71916529424394,-17.69663956358773,-17.69663956358773,
1895,BLN,hoffebi01,pit,30,109.59580704458762,-17.67674307170768,-17.67674307170768,
1908,CLE,jossad01,pit,30,109.41795874897787,-17.648057862738366,-17.648057862738366,
1890,BRO,lovetto01,pit,30,109.21544982602163,-17.615395133229296,-17.615395133229296,
1915,PHI,alexape01,pit,30,109.1738662765118,-17.608688109114805,-17.608688109114805,
1893,CIN,dwyerfr01,pit,30,109.04207504558644,-17.587431458965554,-17.587431458965554,
1910,CHA,walshed01,pit,30,108.8490985656923,-17.55630622027295,-17.55630622027295,
1953,ML1,spahnwa01,pit,30,108.77615950775451,-17.544541856089438,-17.544541856089438,
1897,NY1,rusieam01,pit,30,108.53763366318645,-17.506069945675232,-17.506069945675232,
1893,CHN,hutchbi01,pit,30,108.21458053670283,-17.453964602694004,-17.453964602694004,
1911,CHA,walshed01,pit,30,107.95170788121432,-17.41156578729263,-17.41156578729263,
1893,PHI,weyhigu01,pit,30,107.69789993877907,-17.37062902238372,-17.37062902238372,
1896,CL4,cuppyni01,pit,30,107.48210076249802,-17.33582270362871,-17.33582270362871,
1934,NY1,hubbeca01,pit,30,107.43811337459599,-17.328727963644514,-17.328727963644514,
1908,PHI,mcquige01,pit,30,106.5692076822022,-17.18858188422616,-17.18858188422616,
1892,PHI,weyhigu01,pit,30,106.47485401295464,-17.173363550476555,-17.173363550476555,
1922,CHA,faberre01,pit,30,106.05785091002544,-17.106104985487974,-17.106104985487974,
1911,WS1,johnswa01,pit,30,105.94783139343058,-17.08835990216622,-17.08835990216622,
1905,NY1,mathech01,pit,30,105.49643813615798,-17.015554538089997,-17.015554538089997,
1893,WAS,esperdu01,pit,30,105.4700710797253,-17.011301787052467,-17.011301787052467,
1910,WS1,johnswa01,pit,30,104.99413832995353,-16.934538440315084,-16.934538440315084,
1887,WS8,whitnji01,pit,30,104.56310372541871,-16.865016729906245,-16.865016729906245,
1925,CIN,luquedo01,pit,30,104.54970692879724,-16.86285595625762,-16.86285595625762,
2000,ARI,johnsra05,pit,30,104.47169852504462,-16.85027395565236,-16.85027395565236,
1947,CLE,fellebo01,pit,30,104.404800489121,-16.839483949858227,-16.839483949858227,
1891,BSN,staleha01,pit,30,104.14518551318407,-16.797610566642593,-16.797610566642593,
1924,BRO,vanceda01,pit,30,103.18927185796365,-16.643430944832847,-16.643430944832847,
1946,DET,newhoha01,pit,30,103.10428077213525,-16.629722705183106,-16.629722705183106,
1885,NY1,keefeti01,pit,30,102.92555028730428,-16.600895207629723,-16.600895207629723,
1912,BRO,ruckena01,pit,30,102.88692978377789,-16.594666094157724,-16.594666094157724,
1910,PHA,coombja01,pit,30,102.59711035263135,-16.54792102461796,-16.54792102461796,
1891,BRO,lovetto01,pit,30,102.36098878198538,-16.509836900320224,-16.509836900320224,
1893,CIN,chambel01,pit,30,102.1733413665418,-16.479571188151905,-16.479571188151905,
1890,BRO,terryad01,pit,30,102.00999041835483,-16.45322426102497,-16.45322426102497,
1985,NYN,goodedw01,pit,30,101.98098155208162,-16.448545411626068,-16.448545411626068,
1891,BRO,carutbo01,pit,30,101.97141386029989,-16.44700223553224,-16.44700223553224,
1876,CHN,spaldal01,pit,30,101.92640473713621,-16.439742699538098,-16.439742699538098,
1898,CHN,griffcl01,pit,30,101.68934286998292,-16.401506914513373,-16.401506914513373,
1894,BRO,daubda01,pit,30,101.5877501506433,-16.38512099203924,-16.38512099203924,
1947,CIN,blackew01,pit,30,101.58699175093658,-16.384998669505897,-16.384998669505897,
1902,CHN,tayloja02,pit,30,101.57608982934268,-16.38324029505527,-16.38324029505527,
1893,CL4,clarkjo01,pit,30,101.47359212916939,-16.366708407930545,-16.366708407930545,
1998,ATL,maddugr01,pit,30,101.42988397904229,-16.359658706297143,-16.359658706297143,
2018,NYN,degroja01,pit,30,100.63098354862223,-16.230803798164875,-16.230803798164875,
1894,CHN,mcgilwi01,pit,30,100.47433942559732,-16.205538617031827,-16.205538617031827,
1948,BSN,sainjo01,pit,30,100.22498593673254,-16.165320312376217,-16.165320312376217,
1894,BLN,hawkebi01,pit,30,100.2101630849666,-16.16292952983332,-16.16292952983332,
1913,NY1,tesreje01,pit,30,99.99675971723936,-16.1285096318128,-16.1285096318128,
1882,CHN,corcola01,pit,30,99.37080045933892,-16.027548461183695,-16.027548461183695,
1998,SDN,brownke01,pit,30,99.33657443272456,-16.022028134310414,-16.022028134310414,
1996,FLO,brownke01,pit,30,99.28283622361535,-16.01336068122828,-16.01336068122828,
1913,CLE,greggve01,pit,30,99.18111474902378,-15.996953991778028,-15.996953991778028,
1931,PHA,grovele01,pit,30,99.17467561969656,-15.995915422531702,-15.995915422531702,
1939,CIN,waltebu01,pit,30,99.1617273609203,-15.993826993696821,-15.993826993696821,
1894,SLN,clarkda02,pit,30,99.1539064069201,-15.992565549503242,-15.992565549503242,
1921,CHA,faberre01,pit,30,99.06943118929203,-15.97894051440194,-15.97894051440194,
1913,PHI,seatoto01,pit,30,99.02466506686812,-15.971720172075504,-15.971720172075504,
1916,PHI,alexape01,pit,30,98.9860337072901,-15.965489307627436,-15.965489307627436,
1893,BSN,stiveja01,pit,30,98.96613209256856,-15.962279369769123,-15.962279369769123,
1930,SLA,stewale01,pit,30,98.92028099104999,-15.954884030814515,-15.954884030814515,
1893,CHN,mcgilwi01,pit,30,98.90510921275236,-15.952436969798768,-15.952436969798768,
1922,SLA,shockur01,pit,30,98.60264805877516,-15.90365291270567,-15.90365291270567,
1878,CHN,larkite01,pit,30,98.55531016185186,-15.896017768040624,-15.896017768040624,
1944,CIN,waltebu01,pit,30,98.25018354704555,-15.846803797910573,-15.846803797910573,
1997,TOR,clemero02,pit,30,98.21994730536699,-15.84192698473661,-15.84192698473661,
1938,CHN,leebi02,pit,30,98.18995044448941,-15.837088781369259,-15.837088781369259,
2000,LAN,brownke01,pit,30,98.14942624970615,-15.830552620920347,-15.830552620920347,
1947,BRO,brancra01,pit,30,98.11486333429393,-15.824977957144181,-15.824977957144181,
1889,NY1,welchmi01,pit,30,97.94310561401399,-15.797275099034513,-15.797275099034513,
1930,CHA,lyonste01,pit,30,97.88783631612257,-15.788360696148802,-15.788360696148802,
1886,BSN,radboch01,pit,30,97.86842173862166,-15.785229312680913,-15.785229312680913,
1964,LAA,chancde01,pit,30,97.6757803349269,-15.754158118536596,-15.754158118536596,
1911,NY1,mathech01,pit,30,97.67316723200577,-15.75373665032351,-15.75373665032351,
1884,BSN,whitnji01,pit,30,97.5761360996027,-15.738086467677855,-15.738086467677855,
1949,BOS,parneme01,pit,30,97.56750497452528,-15.736694350729882,-15.736694350729882,
1919,WS1,johnswa01,pit,30,97.33897355225862,-15.69983444391268,-15.69983444391268,
1908,BOS,youngcy01,pit,30,97.30452204905964,-15.694277749848329,-15.694277749848329,
1933,NY1,schumha02,pit,30,97.1294510306504,-15.66604048881458,-15.66604048881458,
1999,BOS,martipe02,pit,30,97.10446310359887,-15.662010177999818,-15.662010177999818,
1893,PHI,carseki01,pit,30,97.0477745574653,-15.652866864107306,-15.652866864107306,
1886,NY1,welchmi01,pit,30,96.95983809419666,-15.638683563580106,-15.638683563580106,
1898,BLN,mcjamdo01,pit,30,96.87353398169992,-15.62476354543547,-15.62476354543547,
1895,SLN,breitte01,pit,30,96.57545867375511,-15.576686882863727,-15.576686882863727,
1894,CL4,clarkjo01,pit,30,96.56795099418268,-15.575475966803658,-15.575475966803658,
1913,CLE,falkecy01,pit,30,96.42236057431934,-15.551993641019248,-15.551993641019248,
1929,PHA,grovele01,pit,30,95.78261957868675,-15.448809609465604,-15.448809609465604,
1934,NYA,gomezle01,pit,30,95.67434057671312,-15.431345254308567,-15.431345254308567,
1918,PHA,perrysc01,pit,30,95.45170992649454,-15.395437084918475,-15.395437084918475,
1956,CLE,wynnea01,pit,30,95.37213602058661,-15.382602583965582,-15.382602583965582,
1925,CIN,rixeyep01,pit,30,95.16133719659018,-15.348602773643577,-15.348602773643577,
1895,CHN,griffcl01,pit,30,95.11885314248225,-15.341750506851975,-15.341750506851975,
1886,PHI,caseyda01,pit,30,95.06436051351713,-15.332961373147924,-15.332961373147924,
1904,NYA,chesbja01,pit,30,94.98309896823027,-15.319854672295204,-15.319854672295204,
1905,PHA,wadderu01,pit,30,94.96406299434229,-15.316784353926174,-15.316784353926174,
2000,ATL,maddugr01,pit,30,94.94749396344957,-15.314111929588641,-15.314111929588641,
1904,NY1,mcginjo01,pit,30,94.79128529113919,-15.288916982441805,-15.288916982441805,
1956,ML1,spahnwa01,pit,30,94.74079567992209,-15.280773496761627,-15.280773496761627,
1912,WS1,groombo01,pit,30,94.71983139420094,-15.277392160354989,-15.277392160354989,
1913,CHN,chenela01,pit,30,94.69862309843262,-15.273971467489131,-15.273971467489131,
1934,SLN,deandi01,pit,30,94.6396549576648,-15.264460477042709,-15.264460477042709,
1918,CLE,covelst01,pit,30,94.63836044274768,-15.264251684314141,-15.264251684314141,
1908,CHN,brownmo01,pit,30,94.51654086953052,-15.244603366053308,-15.244603366053308,
1896,PIT,hawlepi01,pit,30,94.41406169895039,-15.228074467572643,-15.228074467572643,
1923,CIN,rixeyep01,pit,30,94.40021328592888,-15.225840852569174,-15.225840852569174,
1938,CIN,derripa01,pit,30,94.31723294315549,-15.2124569263154,-15.2124569263154,
1894,WAS,maulal01,pit,30,94.30444768026663,-15.21039478713978,-15.21039478713978,
1933,BSN,branded01,pit,30,93.96999515393209,-15.156450831279368,-15.156450831279368,
1879,CHN,hankifr01,pit,30,93.95703319108068,-15.154360192109786,-15.154360192109786,
1880,CHN,corcola01,pit,30,93.91157810781192,-15.147028727066438,-15.147028727066438,
1995,ATL,maddugr01,pit,30,93.89226905649657,-15.14391436395106,-15.14391436395106,
1892,BSN,nichoki01,pit,30,93.76389396991149,-15.123208704824433,-15.123208704824433,
1964,LAN,drysddo01,pit,30,93.64485298547248,-15.104008546043948,-15.104008546043948,
1997,MON,martipe02,pit,30,93.63540637510822,-15.102484899211003,-15.102484899211003,
1888,DTN,conwape01,pit,30,93.45813885692644,-15.073893364020392,-15.073893364020392,
1947,DET,newhoha01,pit,30,93.34905732240631,-15.056299568130049,-15.056299568130049,
2005,HOU,clemero02,pit,30,93.22506795385864,-15.036301282880425,-15.036301282880425,
1928,BRO,vanceda01,pit,30,93.21890312400227,-15.035306955484236,-15.035306955484236,
1945,WS1,wolffro01,pit,30,93.19445885769392,-15.031364331886115,-15.031364331886115,
1940,CIN,waltebu01,pit,30,93.17653701095672,-15.028473711444633,-15.028473711444633,
1940,CLE,fellebo01,pit,30,93.08377275139826,-15.013511734096493,-15.013511734096493,
1925,CIN,donohpe01,pit,30,93.06344256208926,-15.01023267130472,-15.01023267130472,
1911,PHI,alexape01,pit,30,93.0522878636681,-15.00843352639808,-15.00843352639808,
1895,NY1,clarkda01,pit,30,92.77755515146131,-14.964121798622791,-14.964121798622791,
1919,CHN,vaughhi01,pit,30,92.51533371765551,-14.921828018976694,-14.921828018976694,
1953,CHA,piercbi02,pit,30,92.41881284731764,-14.906260136664136,-14.906260136664136,
1878,PRO,wardjo01,pit,30,92.22425611474016,-14.874880018506477,-14.874880018506477,
1994,ATL,maddugr01,pit,30,92.17669461930501,-14.867208809565323,-14.867208809565323,
1935,SLN,deandi01,pit,30,91.88039602381842,-14.8194187135191,-14.8194187135191,
1936,SLN,deandi01,pit,30,91.85039127032289,-14.814579237148852,-14.814579237148852,
1890,BSN,clarkjo01,pit,30,91.84547656818891,-14.813786543256276,-14.813786543256276,
1882,CHN,goldsfr01,pit,30,91.83460408443935,-14.812032916845055,-14.812032916845055,
1913,NY1,marquru01,pit,30,91.57115886015933,-14.7695417516386,-14.7695417516386,
1892,CL4,cuppyni01,pit,30,91.51925857105238,-14.761170737266513,-14.761170737266513,
1919,CHA,cicoted01,pit,30,91.51533371765552,-14.760537696396051,-14.760537696396051,
1891,PIT,galvipu01,pit,30,91.23439534974399,-14.71522505641032,-14.71522505641032,
1933,PIT,frencla01,pit,30,91.22569613503664,-14.713821957263974,-14.713821957263974,
1937,NYA,gomezle01,pit,30,91.17184736452963,-14.705136671698327,-14.705136671698327,
1918,CHN,vaughhi01,pit,30,91.16292813036785,-14.7036980855432,-14.7036980855432,
1920,PIT,coopewi01,pit,30,91.11986761134222,-14.696752840539066,-14.696752840539066,
1956,CLE,scorehe01,pit,30,91.06885683481248,-14.688525295937497,-14.688525295937497,
1898,CL4,youngcy01,pit,30,90.78405882465776,-14.642590133009316,-14.642590133009316,
1897,WAS,mercewi01,pit,30,90.71211182877903,-14.630985778835328,-14.630985778835328,
1912,NY1,tesreje01,pit,30,90.58518679997098,-14.61051399999532,-14.61051399999532,
1893,LS3,hemmige01,pit,30,90.51265283689574,-14.59881497369286,-14.59881497369286,
1920,BRO,grimebu01,pit,30,90.40998918851454,-14.582256320728153,-14.582256320728153,
1880,WOR,richmle01,pit,30,90.17670379555165,-14.544629644443813,-14.544629644443813,
2009,KCA,greinza01,pit,30,90.11780334084851,-14.535129571104598,-14.535129571104598,
1912,NY1,marquru01,pit,30,90.11427315661777,-14.534560186551253,-14.534560186551253,
1949,BSN,spahnwa01,pit,30,90.03693793667543,-14.522086763979907,-14.522086763979907,
1889,PHI,buffich01,pit,30,89.92901368886747,-14.504679627236689,-14.504679627236689,
1949,DET,truckvi01,pit,30,89.58486637018439,-14.44917199519103,-14.44917199519103,
1912,PHA,planked01,pit,30,89.43327917308285,-14.424722447271428,-14.424722447271428,
1925,NYA,pennohe01,pit,30,89.43047704218846,-14.424270490675557,-14.424270490675557,
2002,ARI,johnsra05,pit,30,89.42169336708932,-14.422853768885373,-14.422853768885373,
1952,PHI,roberro01,pit,30,89.37883664428387,-14.415941394239333,-14.415941394239333,
1985,SLN,tudorjo01,pit,30,89.0835057595992,-14.368307380580516,-14.368307380580516,
1946,SLN,polleho01,pit,30,88.96949436920718,-14.349918446646319,-14.349918446646319,
1999,LAN,brownke01,pit,30,88.81418526472554,-14.324868591084764,-14.324868591084764,
1912,SLN,sallesl01,pit,30,88.72034946169329,-14.309733784144079,-14.309733784144079,
1888,BSN,clarkjo01,pit,30,88.67033362535662,-14.301666713767196,-14.301666713767196,
1956,ML1,burdele01,pit,30,88.5908434571802,-14.288845718900031,-14.288845718900031,
1951,BSN,spahnwa01,pit,30,88.5858113063409,-14.288034081667886,-14.288034081667886,
1901,NY1,mathech01,pit,30,88.51782104048209,-14.277067909755175,-14.277067909755175,
1904,PHA,wadderu01,pit,30,88.50995653555466,-14.275799441218494,-14.275799441218494,
1963,LAN,koufasa01,pit,30,88.45558508339569,-14.267029852160595,-14.267029852160595,
1951,PHI,roberro01,pit,30,88.25814558421902,-14.235184771648228,-14.235184771648228,
1927,SLN,haineje01,pit,30,88.24944975593885,-14.233782218699815,-14.233782218699815,
1999,ATL,millwke01,pit,30,88.14914494197129,-14.217604022898595,-14.217604022898595,
