season,name,n_teams,pos_change_suggestion
1901,Frank Owen,1,No Change
1901,Frank Scheibeck,1,No Change
1901,Frank Shugart,1,No Change
1901,Fred Brown,1,No Change
1901,Fred Clarke,1,No Change
1901,Fred Crolius,1,No Change
1901,Fred Hartman,1,No Change
1901,Fred Jacklitsch,1,No Change
1901,Fred Ketchum,1,No Change
1901,Fred Mitchell,1,No Change
1901,Fred Raymer,1,No Change
1901,Fred Tenney,1,No Change
1901,Freddy Parent,1,No Change
1901,Fritz Buelow,1,No Change
1901,Gene DeMontreville,1,No Change
1901,Gene McCann,1,No Change
1901,Gene Wright,1,No Change
1901,George Bone,1,No Change
1901,George Browne,1,No Change
1901,George Cuppy,1,No Change
1901,George Davis,1,No Change
1901,George Grosart,1,No Change
1901,George Hogreiver,1,No Change
1901,George LaChance,1,No Change
1901,George Leitner,2,Utility Tryout
1901,George Magoon,1,No Change
1901,George McBride,1,No Change
1901,George Merritt,1,No Change
1901,George Prentiss,1,No Change
1901,George Rohe,1,No Change
1901,George Smith,1,No Change
1901,George Van Haltren,1,No Change
1901,George Winter,1,No Change
1901,George Yeager,2,Utility Tryout
1901,Germany Schaefer,1,No Change
1901,Ginger Beaumont,1,No Change
1901,Gus Weyhing,2,Utility Tryout
1901,Happy Townsend,1,No Change
1901,Harley Parker,1,No Change
1901,Harry Bay,1,No Change
1901,Harry Croft,1,No Change
1901,Harry Davis,1,No Change
1901,Harry Felix,1,No Change
1901,Harry Gleason,1,No Change
1901,Harry Howell,1,No Change
1901,Harry Lochhead,2,Utility Tryout
1901,Harry McNeal,1,No Change
1901,Harry Smith,1,No Change
1901,Harry Steinfeldt,1,No Change
1901,Harry Wolverton,1,No Change
1901,Heinie Peitz,1,No Change
1901,Herm McFarland,1,No Change
1901,Herman Long,1,No Change
1901,Hobe Ferris,1,No Change
1901,Honus Wagner,1,No Change
1901,Hugh Duffy,1,No Change
1901,Hughie Hearne,1,No Change
1901,Hughie Jennings,1,No Change
1901,Ike Van Zandt,1,No Change
1901,Irv Waldron,2,Utility Tryout
1901,Jack Bracken,1,No Change
1901,Jack Chesbro,1,No Change
1901,Jack Cronin,1,No Change
1901,Jack Doyle,1,No Change
1901,Jack Dunn,2,Utility Tryout
1901,Jack Harper,1,No Change
1901,Jack Hayden,1,No Change
1901,Jack Katoll,1,No Change
1901,Jack McAleese,1,No Change
1901,Jack McCarthy,1,No Change
1901,Jack O'Brien,2,Utility Tryout
1901,Jack O'Connor,1,No Change
1901,Jack Powell,1,No Change
1901,Jack Ryan,1,No Change
1901,Jack Slattery,1,No Change
1901,Jack Sutthoff,1,No Change
1901,Jack Taylor,1,No Change
1901,Jack Warner,1,No Change
1901,Jake Beckley,1,No Change
1901,Jake Livingstone,1,No Change
1901,Jake Volz,1,No Change
1901,James Casey,1,No Change
1901,James McJames,1,No Change
1901,Jay Hughes,1,No Change
1901,Jerry Hurley,1,No Change
1901,Jerry Nops,1,No Change
1901,Jesse Burkett,1,No Change
1901,Jesse Tannehill,1,No Change
1901,Jiggs Donahue,2,Utility Tryout
1901,Jim Delahanty,1,No Change
1901,Jim Jackson,1,No Change
1901,Jim Jones,1,No Change
1901,Jim McGuire,1,No Change
1901,Jim Miller,1,No Change
1901,Jimmy Barrett,1,No Change
1901,Jimmy Burke,3,Utility Tryout
1901,Jimmy Callahan,1,No Change
1901,Jimmy Collins,1,No Change
1901,Jimmy Hart,1,No Change
1901,Jimmy McAleer,1,No Change
1901,Jimmy Sheckard,1,No Change
1901,Jimmy Slagle,2,Utility Tryout
1901,Jimmy Williams,1,No Change
1901,Joe Connor,2,Utility Tryout
1901,Joe Dolan,2,Utility Tryout
1901,Joe Kelley,1,No Change
1901,Joe McGinnity,1,No Change
1901,Joe Quinn,1,No Change
1901,Joe Rickert,1,No Change
1901,Joe Sugden,1,No Change
1901,Joe Wall,1,No Change
1901,Joe Yeager,1,No Change
1901,John Anderson,1,No Change
1901,John Barry,2,Utility Tryout
1901,John Butler,1,No Change
1901,John Dobbs,1,No Change
1901,John Farrell,1,No Change
1901,John Ganzel,1,No Change
1901,John Gochnaur,1,No Change
1901,John Heileman,1,No Change
1901,John Hinton,1,No Change
1901,John McGraw,1,No Change
1901,John McPherson,1,No Change
1901,John Menefee,1,No Change
1901,John Skopec,1,No Change
1901,Johnny Kling,1,No Change
1901,Jud Smith,1,No Change
1901,Kid Carsey,1,No Change
1901,Kid Elberfeld,1,No Change
1901,Kid Gleason,1,No Change
1901,Kid Nichols,1,No Change
1901,Kip Selbach,1,No Change
1901,Kitty Bransfield,1,No Change
1901,Klondike Douglass,1,No Change
1901,Larry Hesterfer,1,No Change
1901,Larry Hoffman,1,No Change
1901,Larry McLean,1,No Change
1901,Lave Cross,1,No Change
1901,Lefty Davis,2,Utility Tryout
1901,Len Swormstedt,1,No Change
1901,Lew Carr,1,No Change
1901,Lewis Wiltse,2,Utility Tryout
1901,Lou Criger,1,No Change
1901,Lou Gertenrich,1,No Change
1901,Luther Taylor,1,No Change
1901,Mal Eason,1,No Change
1901,Malachi Hogan,1,No Change
1901,Malachi Kittridge,1,No Change
1901,Matty McIntyre,1,No Change
1901,Mike Donlin,1,No Change
1901,Mike Grady,1,No Change
1901,Mike Heydon,1,No Change
1901,Mike Kahoe,2,Utility Tryout
1901,Mike O'Neill,1,No Change
1901,Monte Cross,1,No Change
1901,Morgan Murphy,1,No Change
1901,Nap Lajoie,1,No Change
1901,Ned Garvin,1,No Change
1901,Noodles Hahn,1,No Change
1901,Ollie Pickering,1,No Change
1901,Ossee Schrecongost,1,No Change
1901,Otto Krueger,1,No Change
1901,Paddy Livingston,1,No Change
1901,Pat Carney,1,No Change
1901,Pat Moran,1,No Change
1901,Patsy Donovan,1,No Change
1901,Pete Childs,2,Utility Tryout
1901,Pete Dowling,2,Utility Tryout
1901,Pete Loos,1,No Change
1901,Pete O'Brien,1,No Change
1901,Phil Geier,2,Utility Tryout
1901,Pink Hawley,1,No Change
1901,Pop Schriver,1,No Change
1901,Ray Nelson,1,No Change
1901,Red Donahue,1,No Change
1901,Roger Bresnahan,1,No Change
1901,Roger Denzer,1,No Change
1901,Roscoe Miller,1,No Change
1901,Roy Patterson,1,No Change
1901,Roy Thomas,1,No Change
1901,Rube Waddell,2,Utility Tryout
1901,Russ Hall,1,No Change
1901,Sam Crawford,1,No Change
1901,Sam Dungan,1,No Change
1901,Sam Leever,1,No Change
1901,Sam Mertes,1,No Change
1901,Sammy Strang,1,No Change
1901,Shorty Gallagher,1,No Change
1901,Slats Jordan,1,No Change
1901,Socks Seybold,1,No Change
1901,Sport McAllister,1,No Change
1901,Stan Yerkes,2,Utility Tryout
1901,Steve Brodie,1,No Change
1901,Tacks Latimer,1,No Change
1901,Ted Lewis,1,No Change
1901,Terry Turner,1,No Change
1901,Theodore Breitenstein,1,No Change
1901,Tim Jordan,1,No Change
1901,Togie Pittinger,1,No Change
1901,Tom Daly,1,No Change
1901,Tom Donovan,1,No Change
1901,Tom Hughes,1,No Change
1901,Tom Leahy,2,Utility Tryout
1901,Tom McCreery,1,No Change
1901,Tommy Corcoran,1,No Change
1901,Tommy Dowd,1,No Change
1901,Tommy Leach,1,No Change
1901,Topsy Hartsel,1,No Change
1901,Truck Eagan,2,Utility Tryout
1901,Tully Sparks,1,No Change
1901,Vic Willis,1,No Change
1901,Whitey Guese,1,No Change
1901,Wid Conroy,1,No Change
1901,Wilbert Robinson,1,No Change
1901,Wiley Piatt,2,Utility Tryout
1901,William Clarke,1,No Change
1901,William Nance,1,No Change
1901,Willie Keeler,1,No Change
1901,Willie Mills,1,No Change
1901,Willie Sudhoff,1,No Change
1901,Win Kellum,1,No Change
1901,Win Mercer,1,No Change
1901,Wyatt Lee,1,No Change
1901,Zaza Harvey,2,Utility Tryout
1902,Addie Joss,1,No Change
1902,Al Orth,1,No Change
1902,Aleck Smith,1,No Change
1902,Alex Hardy,1,No Change
1902,Alex Pearson,1,No Change
1902,Andy Coakley,1,No Change
1902,Andy Oyler,1,No Change
1902,Arch McCarthy,1,No Change
1902,Archie Stimmel,1,No Change
1902,Art Nichols,1,No Change
1902,Art Weaver,1,No Change
1902,Art Williams,1,No Change
1902,Barney McFadden,1,No Change
1902,Barry McCormick,1,No Change
1902,Bert Husting,2,Utility Tryout
1902,Bill Bergen,1,No Change
1902,Bill Bernhard,2,Utility Tryout
1902,Bill Bradley,1,No Change
1902,Bill Carrick,1,No Change
1902,Bill Clay,1,No Change
1902,Bill Coughlin,1,No Change
1902,Bill Dahlen,1,No Change
1902,Bill Dinneen,1,No Change
1902,Bill Donovan,1,No Change
1902,Bill Duggleby,2,Utility Tryout
1902,Bill Friel,1,No Change
1902,Bill Hallman,1,No Change
1902,Bill Keister,1,No Change
1902,Bill Magee,2,Utility Tryout
1902,Bill Mellor,1,No Change
1902,Bill Miller,1,No Change
1902,Bill Phillips,1,No Change
1902,Bill Popp,1,No Change
1902,Bill Reidy,1,No Change
1902,Bill Thomas,1,No Change
1902,Bill Wolff,1,No Change
1902,Billy Gilbert,1,No Change
1902,Billy Hoy,1,No Change
1902,Billy Lauder,1,No Change
1902,Billy Lush,1,No Change
1902,Billy Maloney,2,Utility Tryout
1902,Billy Sullivan,1,No Change
1902,Bob Blewett,1,No Change
1902,Bob Dresser,1,No Change
1902,Bob Ewing,1,No Change
1902,Bob Lawson,1,No Change
1902,Bob Rhoads,1,No Change
1902,Bob Wicker,1,No Change
1902,Bob Wood,1,No Change
1902,Bobby Lowe,1,No Change
1902,Bobby Wallace,1,No Change
1902,Bones Ely,1,No Change
1902,Brickyard Kennedy,1,No Change
1902,Buck Freeman,1,No Change
1902,Buck Hooker,1,No Change
1902,Bunk Congalton,1,No Change
1902,C. B. Burns,1,No Change
1902,Cal Vasbinder,1,No Change
1902,Carl Lundgren,1,No Change
1902,Casey Patten,1,No Change
1902,Chappie McFarland,1,No Change
1902,Charles Fuller,1,No Change
1902,Charles Zimmer,1,No Change
1902,Charlie Dexter,2,Utility Tryout
1902,Charlie Hemphill,2,Utility Tryout
1902,Charlie Hickman,2,Utility Tryout
1902,Charlie Irwin,1,No Change
1902,Charlie Shields,2,Utility Tryout
1902,Charlie Smith,1,No Change
1902,Chick Fraser,1,No Change
1902,Chick Hartley,1,No Change
1902,Chick Pedroes,1,No Change
1902,Chick Stahl,1,No Change
1902,Christy Mathewson,1,No Change
1902,Clarence Currie,2,Utility Tryout
1902,Clark Griffith,1,No Change
1902,Claude Ritchey,1,No Change
1902,Cozy Dolan,1,No Change
1902,Crese Heismann,2,Utility Tryout
1902,Cy Seymour,2,Utility Tryout
1902,Cy Vorhees,2,Utility Tryout
1902,Cy Young,1,No Change
1902,Dad Clark,1,No Change
1902,Dan McGann,2,Utility Tryout
1902,Danny Green,1,No Change
1902,Danny Murphy,1,No Change
1902,Dave Fultz,1,No Change
1902,Dave Williams,1,No Change
1902,Davy Jones,2,Utility Tryout
1902,Deacon McGuire,1,No Change
1902,Deacon Phillippe,1,No Change
1902,Dick Harley,1,No Change
1902,Dick Padden,1,No Change
1902,Dike Varney,1,No Change
1902,Doc Hazelton,1,No Change
1902,Doc Newton,1,No Change
1902,Doc Powers,1,No Change
1902,Doc White,1,No Change
1902,Ducky Holmes,1,No Change
1902,Duff Cooley,1,No Change
1902,Duke Farrell,1,No Change
1902,Dusty Miller,1,No Change
1902,Earl Moore,1,No Change
1902,Ed Delahanty,1,No Change
1902,Ed Doheny,1,No Change
1902,Ed Fisher,1,No Change
1902,Ed Glenn,1,No Change
1902,Ed Gremminger,1,No Change
1902,Ed Hughes,1,No Change
1902,Ed Kenna,1,No Change
1902,Ed McFarland,1,No Change
1902,Ed Murphy,1,No Change
1902,Ed Phelps,1,No Change
1902,Ed Poole,2,Utility Tryout
1902,Ed Siever,1,No Change
1902,Ed Walker,1,No Change
1902,Ed Watkins,1,No Change
1902,Ed Wheeler,1,No Change
1902,Eddie Plank,1,No Change
1902,Elmer Flick,2,Utility Tryout
1902,Emmet Heidrick,1,No Change
1902,Ernie Courtney,2,Utility Tryout
1902,Ernie Ross,1,No Change
1902,Erve Beck,2,Utility Tryout
1902,Farmer Steelman,1,No Change
1902,Fielder Jones,1,No Change
1902,Frank Bonner,2,Utility Tryout
1902,Frank Bowerman,1,No Change
1902,Frank Chance,1,No Change
1902,Frank Dillon,2,Utility Tryout
1902,Frank Foreman,1,No Change
1902,Frank Isbell,1,No Change
1902,Frank Kitson,1,No Change
1902,Frank Mahar,1,No Change
1902,Frank Morrissey,1,No Change
1902,Fred Brown,1,No Change
1902,Fred Clarke,1,No Change
1902,Fred Crolius,1,No Change
1902,Fred Glade,1,No Change
1902,Fred Hartman,1,No Change
1902,Fred Jacklitsch,1,No Change
1902,Fred Klobedanz,1,No Change
1902,Fred Mitchell,2,Utility Tryout
1902,Fred Tenney,1,No Change
1902,Freddy Parent,1,No Change
1902,Fritz Buelow,1,No Change
1902,Gary Wilson,1,No Change
1902,Gene DeMontreville,1,No Change
1902,Gene McCann,1,No Change
1902,Gene Wright,1,No Change
1902,George Barclay,1,No Change
1902,George Browne,2,Utility Tryout
1902,George Carey,1,No Change
1902,George Davis,1,No Change
1902,George Hildebrand,1,No Change
1902,George LaChance,1,No Change
1902,George Leitner,2,Utility Tryout
1902,George Magoon,1,No Change
1902,George Merritt,1,No Change
1902,George Mullin,1,No Change
1902,George Prentiss,2,Utility Tryout
1902,George Smith,1,No Change
1902,George Starnagle,1,No Change
1902,George Van Haltren,1,No Change
1902,George Winter,1,No Change
1902,George Yeager,2,Utility Tryout
1902,Germany Schaefer,1,No Change
1902,Ginger Beaumont,1,No Change
1902,Ginger Clark,1,No Change
1902,Gus Dorner,1,No Change
1902,Hal O'Hagan,3,Utility Tryout
1902,Ham Iburg,1,No Change
1902,Happy Townsend,1,No Change
1902,Harry Arndt,2,Utility Tryout
1902,Harry Bay,2,Utility Tryout
1902,Harry Bemis,1,No Change
1902,Harry Davis,1,No Change
1902,Harry Felix,1,No Change
1902,Harry Gleason,1,No Change
1902,Harry Howell,1,No Change
1902,Harry Kane,1,No Change
1902,Harry Smith,1,No Change
1902,Harry Steinfeldt,1,No Change
1902,Harry Wolverton,2,Utility Tryout
1902,Harvey Cushman,1,No Change
1902,Heinie Peitz,1,No Change
1902,Heinie Wagner,1,No Change
1902,Henry Krug,1,No Change
1902,Henry Thielman,2,Utility Tryout
1902,Herm McFarland,2,Utility Tryout
1902,Herman Long,1,No Change
1902,Hobe Ferris,1,No Change
1902,Homer Smoot,1,No Change
1902,Honus Wagner,1,No Change
1902,Howard Wilson,1,No Change
1902,Hughie Hearne,1,No Change
1902,Hughie Jennings,1,No Change
1902,Ike Butler,1,No Change
1902,Jack Calhoun,1,No Change
1902,Jack Chesbro,1,No Change
1902,Jack Cronin,3,Utility Tryout
1902,Jack Doyle,2,Utility Tryout
1902,Jack Dunn,1,No Change
1902,Jack Harper,1,No Change
1902,Jack Hendricks,2,Utility Tryout
1902,Jack Katoll,2,Utility Tryout
1902,Jack Lundbom,1,No Change
1902,Jack McCarthy,1,No Change
1902,Jack Morrissey,1,No Change
1902,Jack O'Connor,1,No Change
1902,Jack O'Neill,1,No Change
1902,Jack Powell,1,No Change
1902,Jack Robinson,1,No Change
1902,Jack Ryan,1,No Change
1902,Jack Taylor,1,No Change
1902,Jack Thoney,2,Utility Tryout
1902,Jack Warner,1,No Change
1902,Jacob Fox,1,No Change
1902,Jake Atz,1,No Change
1902,Jake Beckley,1,No Change
1902,James Casey,1,No Change
1902,James Durham,1,No Change
1902,Jay Hughes,1,No Change
1902,Jesse Burkett,1,No Change
1902,Jesse Tannehill,1,No Change
1902,Jesse Whiting,1,No Change
1902,Jiggs Donahue,1,No Change
1902,Jim Callahan,1,No Change
1902,Jim Delahanty,1,No Change
1902,Jim Gardner,1,No Change
1902,Jim Hackett,1,No Change
1902,Jim Jackson,1,No Change
1902,Jim Jones,1,No Change
1902,Jim Murray,1,No Change
1902,Jim St. Vrain,1,No Change
1902,Jimmy Barrett,1,No Change
1902,Jimmy Burke,1,No Change
1902,Jimmy Callahan,1,No Change
1902,Jimmy Collins,1,No Change
1902,Jimmy Mathison,1,No Change
1902,Jimmy McAleer,1,No Change
1902,Jimmy Ryan,1,No Change
1902,Jimmy Sebring,1,No Change
1902,Jimmy Sheckard,2,Utility Tryout
1902,Jimmy Slagle,1,No Change
1902,Jimmy Williams,1,No Change
1902,Joe Adams,1,No Change
1902,Joe Bean,1,No Change
1902,Joe Berry,1,No Change
1902,Joe Hughes,1,No Change
1902,Joe Kelley,2,Utility Tryout
1902,Joe McGinnity,2,Utility Tryout
1902,Joe Stanley,1,No Change
1902,Joe Sugden,1,No Change
1902,Joe Tinker,1,No Change
1902,Joe Wall,2,Utility Tryout
1902,Joe Yeager,1,No Change
1902,John Anderson,1,No Change
1902,John Barry,1,No Change
1902,John Burke,1,No Change
1902,John Dobbs,2,Utility Tryout
1902,John Farrell,1,No Change
1902,John Gochnaur,1,No Change
1902,John Malarkey,1,No Change
1902,John McGraw,2,Utility Tryout
1902,John McMakin,1,No Change
1902,John Menefee,1,No Change
1902,John Murphy,1,No Change
1902,John O'Connell,1,No Change
1902,John O'Neil,1,No Change
1902,John Terry,1,No Change
1902,Johnny Evers,1,No Change
1902,Johnny Kling,1,No Change
1902,Kid Elberfeld,1,No Change
1902,Kid Gleason,1,No Change
1902,Kip Selbach,1,No Change
1902,Kitty Bransfield,1,No Change
1902,Klondike Douglass,1,No Change
1902,Larry Schlafly,1,No Change
1902,Lave Cross,1,No Change
1902,Lave Winham,1,No Change
1902,Lee Fohl,1,No Change
1902,Lefty Davis,1,No Change
1902,Len Swormstedt,1,No Change
1902,Lew Drill,2,Utility Tryout
1902,Lew Post,1,No Change
1902,Lew Ritter,1,No Change
1902,Lewis Wiltse,2,Utility Tryout
1902,Libe Washburn,1,No Change
1902,Lou Castro,1,No Change
1902,Lou Criger,1,No Change
1902,Lou Polchow,1,No Change
1902,Lou Schiappacasse,1,No Change
1902,Luther Taylor,2,Utility Tryout
1902,Mal Eason,2,Utility Tryout
1902,Malachi Kittridge,1,No Change
1902,Malcolm MacDonald,1,No Change
1902,Martin Glendon,1,No Change
1902,Merle Adkins,1,No Change
1902,Mike Donlin,1,No Change
1902,Mike Hopkins,1,No Change
1902,Mike Jacobs,1,No Change
1902,Mike Kahoe,2,Utility Tryout
1902,Mike Lynch,1,No Change
1902,Mike O'Neill,1,No Change
1902,Monte Cross,1,No Change
1902,Nap Lajoie,2,Utility Tryout
1902,Nap Shea,1,No Change
1902,Ned Garvin,2,Utility Tryout
1902,Nick Altrock,1,No Change
1902,Noodles Hahn,1,No Change
1902,Odie Porter,1,No Change
1902,Ollie Pickering,1,No Change
1902,Oscar Streit,1,No Change
1902,Ossee Schrecongost,2,Utility Tryout
1902,Otto Deininger,1,No Change
1902,Otto Hess,1,No Change
1902,Otto Krueger,1,No Change
1902,Otto Williams,1,No Change
1902,Paddy Greene,1,No Change
1902,Pat Carney,1,No Change
1902,Pat Deisel,1,No Change
1902,Pat Moran,1,No Change
1902,Patsy Donovan,1,No Change
1902,Patsy Dougherty,1,No Change
1902,Peaches Graham,1,No Change
1902,Pete Childs,1,No Change
1902,Pete Lamer,1,No Change
1902,Pete LePine,1,No Change
1902,Pop Williams,1,No Change
1902,R.E. Hillebrand,1,No Change
1902,Ray Hale,2,Utility Tryout
1902,Red Donahue,1,No Change
1902,Red Dooin,1,No Change
1902,Red Long,1,No Change
1902,Roger Bresnahan,2,Utility Tryout
1902,Roscoe Miller,2,Utility Tryout
1902,Roy Brashear,1,No Change
1902,Roy Clark,1,No Change
1902,Roy Evans,2,Utility Tryout
1902,Roy Patterson,1,No Change
1902,Roy Thomas,1,No Change
1902,Rube Kisinger,1,No Change
1902,Rube Vickers,1,No Change
1902,Rube Waddell,1,No Change
1902,Rube Ward,1,No Change
1902,Rudy Hulswitt,1,No Change
1902,Rudy Kling,1,No Change
1902,Sam Crawford,1,No Change
1902,Sam Leever,1,No Change
1902,Sam McMackin,2,Utility Tryout
1902,Sam Mertes,1,No Change
1902,Sammy Curran,1,No Change
1902,Sammy Strang,2,Utility Tryout
1902,Sherman Kennedy,1,No Change
1902,Slats Jordan,1,No Change
1902,Socks Seybold,1,No Change
1902,Solly Salisbury,1,No Change
1902,Sport McAllister,2,Utility Tryout
1902,Stan Yerkes,1,No Change
1902,Steve Brodie,1,No Change
1902,Tacks Latimer,1,No Change
1902,Tad Quinn,1,No Change
1902,Tim Donahue,1,No Change
1902,Tim Flood,1,No Change
1902,Togie Pittinger,1,No Change
1902,Tom Daly,1,No Change
1902,Tom Fleming,1,No Change
1902,Tom Hughes,2,Utility Tryout
1902,Tom Jones,1,No Change
1902,Tom Maher,1,No Change
1902,Tom McCreery,1,No Change
1902,Tom Walker,1,No Change
1902,Tommy Corcoran,1,No Change
1902,Tommy Leach,1,No Change
1902,Topsy Hartsel,1,No Change
1902,Tully Sparks,2,Utility Tryout
1902,Vic Willis,1,No Change
1902,Warren McLaughlin,1,No Change
1902,Wid Conroy,1,No Change
1902,Wilbert Robinson,1,No Change
1902,Wiley Dunham,1,No Change
1902,Wiley Piatt,1,No Change
1902,William Clarke,1,No Change
1902,Willie Keeler,1,No Change
1902,Willie Sudhoff,1,No Change
1902,Win Mercer,1,No Change
1902,Wish Egan,1,No Change
1902,Wyatt Lee,1,No Change
1902,Zaza Harvey,1,No Change
1903,Addie Joss,1,No Change
1903,Al Orth,1,No Change
1903,Aleck Smith,1,No Change
1903,Alex Hardy,1,No Change
1903,Alex Jones,1,No Change
1903,Alex Pearson,1,No Change
1903,Ambrose Puttmann,1,No Change
1903,Andy Coakley,1,No Change
1903,Art Nichols,1,No Change
1903,Art Weaver,2,Utility Tryout
1903,Arthur Ragan,1,No Change
1903,Barney Pelty,1,No Change
1903,Barney Wolfe,1,No Change
1903,Barry McCormick,2,Utility Tryout
1903,Benny Bowcock,1,No Change
1903,Bert Daly,1,No Change
1903,Bill Bartley,1,No Change
1903,Bill Bergen,1,No Change
1903,Bill Bernhard,1,No Change
1903,Bill Bradley,1,No Change
1903,Bill Coughlin,1,No Change
1903,Bill Dahlen,1,No Change
1903,Bill Dinneen,1,No Change
1903,Bill Donovan,1,No Change
1903,Bill Duggleby,1,No Change
1903,Bill Friel,1,No Change
1903,Bill Hallman,2,Utility Tryout
1903,Bill Hanlon,1,No Change
1903,Bill Keister,1,No Change
1903,Bill Phillips,1,No Change
1903,Bill Pounds,2,Utility Tryout
1903,Bill Reidy,2,Utility Tryout
1903,Billy Clingman,1,No Change
1903,Billy Gilbert,1,No Change
1903,Billy Lauder,1,No Change
1903,Billy Lush,1,No Change
